,title,genres,production_companies,budget_M
151,Hustlers,Drama,other,20.0
233,Spiral: From the Book of Saw,Horror,other,20.0
275,What Men Want,Comedy,other,20.0
67,Mortal Kombat,Action,other,20.0
278,Dog,Drama,other,20.0
282,Tolkien,War,other,20.0
257,Halloween Ends,Horror,Universal Pictures,20.0
44,Us,Horror,other,20.0
195,The Banshees of Inisherin,Drama,other,20.0
167,Halloween Kills,Horror,other,20.0
230,Good Boys,Comedy,other,20.0
264,Those Who Wish Me Dead,Thriller,other,20.0
219,Knock at the Cabin,Thriller,other,20.0
215,Dark Waters,Drama,other,20.0
241,Violent Night,Action,other,20.0
95,Uncut Gems,Drama,other,19.0
206,The Pope's Exorcist,Horror,other,18.0
252,Spencer,Drama,other,18.0
341,The War with Grandpa,Comedy,other,18.0
277,The Art of Racing in the Rain,Drama,Original Film,18.0
370,The Craft: Legacy,Horror,other,18.0
107,Old,Thriller,Universal Pictures,18.0
329,The Outpost,War,other,18.0
317,A Dog's Way Home,Drama,other,18.0
312,Bones and All,Drama,other,18.0
188,The Forever Purge,Horror,other,18.0
518,The Fanatic,Crime,other,18.0
53,Nobody,Action,other,17.0
325,Antlers,Drama,other,17.0
169,Smile,Horror,other,17.0
97,The Black Phone,Horror,Universal Pictures,17.0
286,Stuber,Action,other,16.0
288,Insidious: The Red Door,Horror,other,16.0
619,Music,Music,other,16.0
378,The Empty Man,Horror,other,16.0
269,A Dog's Journey,Family,other,16.0
571,The Photograph,Drama,other,16.0
237,Triangle of Sadness,Comedy,other,15.6
451,The Personal History of David Copperfield,Comedy,other,15.6
422,Sound of Freedom,Action,other,15.0
226,Escape Room: Tournament of Champions,Horror,Original Film,15.0
239,The Green Knight,Adventure,other,15.0
439,Force of Nature,Action,other,15.0
428,Miss Bala,Action,other,15.0
175,Evil Dead Rise,Thriller,New Line Cinema,15.0
487,Armageddon Time,Drama,other,15.0
345,Antebellum,Horror,other,15.0
476,Midnight in the Switchgrass,Crime,other,15.0
416,Blinded by the Light,Drama,New Line Cinema,15.0
24,Jojo Rabbit,Comedy,other,14.0
139,The Hunt,Action,other,14.0
35,After,Romance,other,14.0
331,The Turning,Horror,Amblin Entertainment,14.0
173,After We Fell,Romance,other,14.0
321,Breakthrough,Drama,other,14.0
140,Crawl,Thriller,other,13.5
124,M3GAN,Science Fiction,other,12.0
301,I Still Believe,Music,other,12.0
403,Firestarter,Science Fiction,other,12.0
314,Wolfwalkers,Animation,other,12.0
280,47 Meters Down: Uncaged,Horror,other,12.0
358,Black and Blue,Action,other,12.0
423,Ophelia,Drama,other,12.0
246,Fighting with My Family,Comedy,other,11.0
92,The Lighthouse,Drama,other,11.0
292,Brahms: The Boy II,Horror,other,10.0
435,Jay and Silent Bob Reboot,Comedy,other,10.0
205,The Unholy,Horror,other,10.0
185,X,Horror,other,10.0
181,Don't Breathe 2,Thriller,other,10.0
573,Brian Banks,Drama,other,10.0
300,The Grudge,Horror,other,10.0
210,CODA,Drama,other,10.0
375,Jackass Forever,Comedy,Paramount,10.0
390,The Invitation,Horror,other,10.0
598,Nine Days,Drama,other,10.0
224,Child's Play,Horror,other,10.0
299,Judy,Drama,other,10.0
441,Chernobyl: Abyss,Drama,other,9.1
93,Escape Room,Horror,Original Film,9.0
400,A Hidden Life,Drama,other,9.0
401,Come Play,Horror,other,9.0
411,The Sun Is Also a Star,Romance,other,9.0
129,Happy Death Day 2U,Comedy,other,9.0
55,Midsommar,Horror,other,9.0
186,The Curse of La Llorona,Horror,other,9.0
495,Primal,Action,other,9.0
578,Love Again,Romance,other,9.0
498,The Requin,Thriller,other,8.5
405,C'mon C'mon,Drama,other,8.3
551,Seberg,Thriller,other,8.0
516,The Kid,Western,other,8.0
415,The Intruder,Thriller,other,8.0
620,Maybe I Do,Drama,other,7.5
544,The Secrets We Keep,Thriller,other,7.2
368,Missing,Thriller,other,7.0
69,The Invisible Man,Thriller,other,7.0
586,Clerks III,Comedy,other,7.0
182,Fantasy Island,Horror,other,7.0
70,Five Feet Apart,Romance,other,7.0
446,Werewolves Within,Horror,other,6.5
212,Countdown,Horror,other,6.5
273,Sisu,Action,other,6.2
147,The Father,Drama,other,6.0
104,Ready or Not,Comedy,other,6.0
404,Waves,Romance,other,6.0
524,K-12,Music,other,6.0
141,Brightburn,Horror,other,6.0
284,Color Out of Space,Horror,other,6.0
332,The Prodigy,Horror,other,6.0
166,Booksmart,Comedy,other,6.0
155,Palm Springs,Comedy,other,5.0
442,The Beach Bum,Comedy,other,5.0
629,The Blackening,Horror,other,5.0
506,Tesla,History,other,5.0
569,Zola,Comedy,other,5.0
628,One Way,Action,other,5.0
201,Ma,Horror,Universal Pictures,5.0
302,Jexi,Comedy,other,5.0
582,BlackBerry,Comedy,other,5.0
281,Gretel & Hansel,Fantasy,other,5.0
156,Nomadland,Drama,other,5.0
633,Lansky,Crime,other,5.0
490,Don't Let Go,Science Fiction,other,5.0
379,Watcher,Horror,other,5.0
258,Freaky,Comedy,Universal Pictures,5.0
336,Jeepers Creepers: Reborn,Horror,other,5.0
350,Willy's Wonderland,Action,other,5.0
425,Black Christmas,Horror,Universal Pictures,5.0
565,Infinite Storm,Thriller,other,4.75
625,The Jesus Rolls,Comedy,other,4.5
448,Infinity Pool,Horror,other,4.5
229,Barbarian,Horror,other,4.5
552,Legacy of Lies,Thriller,other,4.5
488,Final Cut,Horror,other,4.3
436,Father Stu,Drama,other,4.0
363,Late Night,Comedy,other,4.0
514,We Die Young,Drama,other,4.0
394,Honey Boy,Drama,other,3.5
497,Flee,Documentary,other,3.4
504,Eye for an Eye,Drama,other,3.33
635,Nefarious,Horror,other,3.0
615,Impractical Jokers: The Movie,Comedy,other,3.0
123,Fall,Thriller,other,3.0
138,The Whale,Drama,other,3.0
453,3 from Hell,Drama,other,3.0
632,The Rising Hawk,Action,other,2.9
541,Run Hide Fight,Action,other,2.0
259,Minari,Drama,other,2.0
396,Emily the Criminal,Crime,other,2.0
482,The Wolf of Snow Hollow,Horror,other,2.0
480,Monos,Drama,other,1.8
184,Run,Thriller,other,1.7
486,Red Rocket,Drama,other,1.1
320,Pearl,Horror,other,1.0
556,VFW,Action,other,1.0
580,Monster High: The Movie,Family,other,1.0
283,The Farewell,Comedy,other,0.25
431,Shiva Baby,Comedy,other,0.25
530,Mad God,Animation,other,0.25
263,Terrifier 2,Horror,other,0.25
606,Shithouse,Comedy,other,0.08
517,The Head Hunter,Horror,other,0.03
